iter	Passed	Remaining
793	26180	138685
794	26211	138638
795	26246	138617
796	26277	138577
797	26312	138550
798	26346	138526
799	26376	138474
800	26408	138437
801	26442	138408
802	26471	138357
803	26507	138339
804	26544	138330
805	26580	138311
806	26618	138306
807	26651	138272
808	26689	138265
809	26728	138261
810	26767	138261
811	26802	138237
812	26837	138214
813	26875	138208
814	26908	138174
815	26939	138130
816	26975	138111
817	27016	138119
818	27055	138115
819	27087	138077
820	27122	138056
821	27161	138051
822	27194	138021
823	27228	137991
824	27261	137961
825	27301	137962
826	27336	137941
827	27369	137907
828	27405	137887
829	27436	137844
830	27472	137825
831	27506	137797
832	27561	137873
833	27602	137881
834	27637	137857
835	27672	137835
836	27706	137803
837	27737	137762
838	27769	137722
839	27804	137698
840	27838	137667
841	27873	137645
842	27901	137588
843	27933	137551
844	27968	137526
845	28000	137486
846	28031	137441
847	28065	137415
848	28100	137390
849	28137	137375
850	28169	137339
851	28198	137287
852	28231	137253
853	28265	137225
854	28295	137173
855	28328	137142
856	28358	137092
857	28390	137053
858	28426	137037
859	28454	136976
860	28490	136959
861	28525	136935
862	28560	136912
863	28591	136869
864	28621	136819
865	28656	136797
866	28686	136751
867	28717	136704
868	28754	136689
869	28786	136653
870	28822	136632
871	28860	136624
872	28895	136599
873	28931	136579
874	28961	136532
875	28998	136516
876	29030	136480
877	29067	136463
878	29101	136435
879	29131	136386
880	29162	136344
881	29199	136331
882	29229	136284
883	29260	136241
884	29300	136240
885	29336	136221
886	29369	136184
887	29403	136158
888	29442	136150
889	29475	136117
890	29510	136092
891	29540	136045
892	29576	136023
893	29610	135995
894	29642	135957
895	29674	135921
896	29706	135880
897	29743	135864
898	29780	135849
899	29815	135827
900	29851	135804
901	29888	135788
902	29919	135749
903	29952	135714
904	29987	135687
905	30024	135673
906	30062	135660
907	30096	135633
908	30132	135612
909	30160	135554
910	30193	135523
911	30226	135489
912	30261	135465
913	30297	135443
914	30323	135380
915	30354	135334
916	30387	135304
917	30433	135326
918	30467	135299
919	30500	135263
920	30535	135237
921	30572	135219
922	30607	135198
923	30640	135161
924	30675	135137
925	30699	135065
926	30730	135023
927	30758	134966
928	30787	134913
929	30819	134876
930	30855	134856
931	30887	134817
932	30920	134782
933	30955	134759
934	30989	134727
935	31018	134678
936	31050	134642
937	31083	134604
938	31117	134579
939	31153	134556
940	31184	134512
941	31221	134495
942	31252	134455
943	31288	134434
944	31320	134397
945	31348	134341
946	31382	134310
947	31413	134271
948	31442	134217
949	31471	134168
950	31502	134126
951	31537	134101
952	31575	134089
953	31609	134059
954	31638	134009
955	31667	133957
956	31698	133914
957	31738	133909
958	31772	133883
959	31807	133856
960	31840	133822
961	31873	133790
962	31911	133776
963	31948	133758
964	31983	133733
965	32018	133707
966	32049	133667
967	32086	133651
968	32120	133619
969	32155	133596
970	32186	133553
971	32220	133524
972	32254	133494
973	32292	133478
974	32331	133469
975	32361	133424
976	32395	133393
977	32430	133368
978	32462	133329
979	32495	133299
980	32534	133287
981	32569	133263
982	32605	133239
983	32633	133188
984	32660	133129
985	32690	133083
986	32719	133034
987	32747	132978
988	32777	132932
989	32806	132882
990	32834	132827
991	32866	132789
992	32896	132747
993	32934	132730
994	32964	132687
995	33003	132674
996	33033	132629
997	33064	132590
998	33099	132563
999	33131	132524
1000	33162	132483
1001	33191	132433
1002	33227	132413
1003	33263	132393
1004	33299	132370
1005	33337	132355
1006	33370	132320
1007	33397	132266
1008	33430	132230
1009	33461	132191
1010	33494	132156
1011	33528	132124
1012	33557	132078
1013	33594	132057
1014	33625	132018
1015	33659	131987
1016	33694	131960
1017	33724	131915
1018	33759	131889
1019	33794	131865
1020	33831	131848
1021	33865	131815
1022	33896	131774
1023	33928	131738
1024	33961	131706
1025	33999	131689
1026	34031	131651
1027	34064	131619
1028	34097	131583
1029	34125	131531
1030	34160	131507
1031	34195	131480
1032	34225	131436
1033	34260	131410
1034	34291	131366
1035	34324	131332
1036	34355	131293
1037	34383	131241
1038	34413	131195
1039	34440	131140
1040	34474	131107
1041	34509	131084
1042	34538	131032
1043	34575	131015
1044	34611	130994
1045	34641	130949
1046	34680	130938
1047	34710	130891
1048	34740	130848
1049	34775	130821
1050	34812	130803
1051	34844	130767
1052	34874	130721
1053	34907	130688
1054	34936	130641
1055	34973	130618
1056	35008	130595
1057	35045	130576
1058	35076	130535
1059	35113	130514
1060	35144	130476
1061	35175	130434
1062	35209	130403
1063	35243	130375
1064	35279	130350
1065	35309	130306
1066	35344	130280
1067	35375	130240
1068	35406	130199
1069	35437	130157
1070	35469	130122
1071	35502	130087
1072	35539	130068
1073	35566	130012
1074	35601	129988
1075	35633	129949
1076	35670	129931
1077	35706	129906
1078	35741	129882
1079	35776	129853
1080	35810	129826
1081	35845	129799
1082	35877	129760
1083	35911	129733
1084	35942	129692
1085	35973	129649
1086	36003	129606
1087	36042	129592
1088	36077	129566
1089	36107	129523
1090	36136	129475
1091	36172	129453
1092	36201	129403
1093	36231	129360
1094	36261	129314
1095	36294	129281
1096	36327	129247
1097	36360	129217
1098	36398	129199
1099	36435	129179
1100	36469	129151
1101	36505	129128
1102	36540	129099
1103	36569	129054
1104	36601	129016
1105	36636	128987
1106	36663	128934
1107	36696	128901
1108	36727	128860
1109	36762	128833
1110	36800	128819
1111	36837	128798
1112	36876	128784
1113	36907	128744
1114	36943	128721
1115	36979	128700
1116	37019	128688
1117	37056	128670
1118	37090	128638
1119	37136	128651
1120	37176	128640
1121	37210	128611
1122	37248	128595
1123	37284	128570
1124	37319	128545
1125	37352	128510
1126	37385	128478
1127	37415	128432
1128	37455	128423
1129	37489	128394
1130	37520	128352
1131	37555	128325
1132	37591	128300
1133	37619	128252
1134	37655	128229
1135	37691	128203
1136	37725	128173
1137	37760	128145
1138	37794	128117
1139	37826	128077
1140	37860	128049
1141	37900	128037
1142	37929	127990
1143	37961	127954
1144	37990	127905
1145	38026	127882
1146	38058	127845
1147	38088	127803
1148	38119	127763
1149	38155	127737
1150	38189	127706
1151	38222	127675
1152	38258	127649
1153	38287	127604
1154	38325	127585
1155	38357	127547
1156	38389	127510
1157	38417	127462
1158	38450	127425
1159	38477	127374
1160	38511	127342
1161	38540	127297
1162	38577	127274
1163	38611	127245
1164	38643	127209
1165	38673	127164
1166	38709	127141
1167	38744	127113
1168	38776	127075
1169	38807	127037
1170	38840	127002
1171	38872	126964
1172	38907	126940
1173	38942	126912
1174	38975	126879
1175	39009	126846
1176	39039	126802
1177	39074	126777
1178	39106	126739
1179	39142	126714
1180	39174	126679
1181	39205	126637
1182	39239	126607
1183	39277	126591
1184	39313	126565
1185	39340	126512
1186	39370	126469
1187	39401	126429
1188	39428	126375
1189	39463	126349
1190	39495	126312
1191	39525	126268
1192	39556	126229
1193	39589	126197
1194	39623	126166
1195	39660	126143
1196	39689	126098
1197	39725	126072
1198	39759	126044
1199	39795	126019
1200	39831	125996
1201	39865	125963
1202	39899	125933
1203	39929	125890
1204	39956	125837
1205	39993	125816
1206	40027	125786
1207	40060	125752
1208	40095	125726
1209	40127	125689
1210	40162	125661
1211	40199	125639
1212	40228	125595
1213	40260	125557
1214	40293	125522
1215	40326	125489
1216	40359	125455
1217	40394	125427
1218	40426	125393
1219	40461	125363
1220	40489	125316
1221	40524	125288
1222	40554	125243
1223	40585	125205
1224	40615	125162
1225	40649	125130
1226	40686	125110
1227	40719	125075
1228	40751	125038
1229	40788	125018
1230	40823	124990
1231	40849	124934
1232	40883	124904
1233	40920	124883
1234	40954	124853
1235	40991	124832
1236	41029	124812
1237	41065	124788
1238	41106	124779
1239	41135	124732
1240	41162	124680
1241	41197	124652
1242	41231	124623
1243	41262	124583
1244	41299	124562
1245	41336	124540
1246	41368	124504
1247	41404	124478
1248	41437	124446
1249	41471	124415
1250	41505	124385
1251	41541	124357
1252	41576	124331
1253	41606	124289
1254	41640	124259
1255	41676	124233
1256	41711	124205
1257	41743	124169
1258	41779	124144
1259	41813	124113
1260	41847	124083
1261	41880	124049
1262	41912	124010
1263	41943	123973
1264	41974	123933
1265	42007	123899
1266	42038	123860
1267	42074	123834
1268	42107	123800
1269	42143	123777
1270	42178	123748
1271	42209	123708
1272	42242	123675
1273	42281	123657
1274	42314	123623
1275	42346	123589
1276	42380	123558
1277	42415	123530
